product_id,product_name,category,price,stock_quantity,location
L-047,아이시스 녹차 500ml,식품>음료>커피·차음료,1900,21,C동 1번 통로 (신선식품 채소 코너)
L-048,스타벅스 디카페인 라떼 275ml,식품>음료>커피·차음료,1900,124,D동 1번 통로 (욕실용품 코너)
L-049,TOP 바닐라라떼 275ml,식품>음료>커피·차음료,1700,146,A동 1번 통로 (과자 코너)
L-050,실론티 240ml,식품>음료>커피·차음료,3200,34,E동 1번 통로 (디지털 및 문구 매대)
L-051,진라면 매운맛 5개입,식품>라면·간편식>봉지라면,8900,73,E동 1번 통로 (디지털 및 문구 매대)
L-052,신라면 5개입,식품>라면·간편식>봉지라면,5200,33,B동 2번 통로 (간편식 코너)
L-053,너구리 우동 5개입,식품>라면·간편식>봉지라면,6800,45,C동 2번 통로 (정육 냉장 진열대)
L-054,짜파게티 5개입,식품>라면·간편식>봉지라면,4500,72,D동 1번 통로 (욕실용품 코너)
L-055,안성탕면 5개입,식품>라면·간편식>봉지라면,4800,134,A동 2번 통로 (냉장 쇼케이스)
L-056,불닭볶음면 5개입,식품>라면·간편식>봉지라면,12900,81,E동 1번 통로 (디지털 및 문구 매대)
L-057,참깨라면 4개입,식품>라면·간편식>봉지라면,2500,55,A동 3번 통로 (대용량 음료 코너)
L-058,진짬뽕 4개입,식품>라면·간편식>봉지라면,1700,46,D동 1번 통로 (욕실용품 코너)
L-059,스낵면 5개입,식품>라면·간편식>봉지라면,8900,5,D동 2번 통로 (세제 및 청소용품 코너)
L-060,진라면 순한맛 5개입,식품>라면·간편식>봉지라면,5200,130,A동 1번 통로 (과자 코너)
L-061,육개장 사발면,식품>라면·간편식>컵라면·즉석밥,1200,97,B동 2번 통로 (간편식 코너)
L-062,김치사발면,식품>라면·간편식>컵라면·즉석밥,1500,19,B동 1번 통로 (라면 코너)
L-063,참깨라면 컵,식품>라면·간편식>컵라면·즉석밥,2500,25,A동 2번 통로 (냉장 쇼케이스)
L-064,불닭볶음면 컵,식품>라면·간편식>컵라면·즉석밥,3200,129,A동 2번 통로 (냉장 쇼케이스)
L-065,진라면 큰컵 매운맛,식품>라면·간편식>컵라면·즉석밥,4100,141,A동 3번 통로 (대용량 음료 코너)
L-066,햇반 210g 3개입,식품>라면·간편식>컵라면·즉석밥,4800,126,D동 1번 통로 (욕실용품 코너)
L-067,오뚜기 3분 카레 3개입,식품>라면·간편식>컵라면·즉석밥,1500,72,D동 1번 통로 (욕실용품 코너)
L-068,오뚜기 3분 짜장 3개입,식품>라면·간편식>컵라면·즉석밥,4100,113,B동 1번 통로 (라면 코너)
L-069,육개장 국밥 즉석세트,식품>라면·간편식>컵라면·즉석밥,2500,56,카운터 옆 악세사리 매대
L-070,햇반컵반 불닭마요덮밥,식품>라면·간편식>컵라면·즉석밥,5200,107,E동 1번 통로 (디지털 및 문구 매대)
L-071,신선한 대파 1단,식품>신선식품>채소·과일,3200,100,C동 2번 통로 (정육 냉장 진열대)
L-072,양파 1망(1kg),식품>신선식품>채소·과일,2500,120,A동 2번 통로 (냉장 쇼케이스)
L-073,감자 1kg,식품>신선식품>채소·과일,1500,62,A동 2번 통로 (냉장 쇼케이스)
L-074,당근 1개,식품>신선식품>채소·과일,1700,10,D동 2번 통로 (세제 및 청소용품 코너)
L-075,깐마늘 300g,식품>신선식품>채소·과일,2500,63,D동 2번 통로 (세제 및 청소용품 코너)
L-076,청양고추 150g,식품>신선식품>채소·과일,1500,6,A동 2번 통로 (냉장 쇼케이스)
L-077,상추 1봉,식품>신선식품>채소·과일,3200,20,B동 1번 통로 (라면 코너)
L-078,방울토마토 500g,식품>신선식품>채소·과일,1200,13,B동 3번 통로 (즉석밥 코너)
L-079,바나나 1송이,식품>신선식품>채소·과일,1200,136,B동 1번 통로 (라면 코너)
L-080,성주 참외 3개 팩,식품>신선식품>채소·과일,1700,129,B동 1번 통로 (라면 코너)
L-081,국산 삼겹살 구이용 500g,식품>신선식품>정육·계란,29000,38,카운터 옆 악세사리 매대
L-082,한우 등심 1++ 300g,식품>신선식품>정육·계란,29000,126,B동 1번 통로 (라면 코너)
L-083,국산 돈목살 구이용 500g,식품>신선식품>정육·계란,24000,109,B동 1번 통로 (라면 코너)
L-084,무항생제 신선란 15구,식품>신선식품>정육·계란,12000,29,E동 1번 통로 (디지털 및 문구 매대)
L-085,냉동 대패삼겹살 800g,식품>신선식품>정육·계란,24000,95,C동 1번 통로 (신선식품 채소 코너)
L-086,훈제오리 슬라이스 400g,식품>신선식품>정육·계란,24000,124,카운터 옆 악세사리 매대
L-087,닭볶음탕용 생닭 900g,식품>신선식품>정육·계란,12000,30,A동 1번 통로 (과자 코너)
L-088,한우 차돌박이 200g,식품>신선식품>정육·계란,24000,91,A동 2번 통로 (냉장 쇼케이스)
L-089,양념 돼지갈비 600g,식품>신선식품>정육·계란,14900,54,B동 1번 통로 (라면 코너)
L-090,소고기 우삼겹 300g,식품>신선식품>정육·계란,29000,119,A동 3번 통로 (대용량 음료 코너)
L-091,크리넥스 3겹 화장지 30롤,생활용품>욕실용품>휴지·티슈,25000,51,B동 2번 통로 (간편식 코너)
L-092,모나리자 순수한면 24롤,생활용품>욕실용품>휴지·티슈,1900,68,A동 2번 통로 (냉장 쇼케이스)
L-093,코디 수소화장지 30롤,생활용품>욕실용품>휴지·티슈,25000,145,A동 2번 통로 (냉장 쇼케이스)
L-094,잘풀리는집 3겹 30롤,생활용품>욕실용품>휴지·티슈,1200,143,A동 1번 통로 (과자 코너)
L-095,크리넥스 미용티슈 3팩,생활용품>욕실용품>휴지·티슈,1200,65,A동 3번 통로 (대용량 음료 코너)
L-096,씨엘 물티슈 100매,생활용품>욕실용품>휴지·티슈,1900,129,C동 2번 통로 (정육 냉장 진열대)
L-097,코멧 휴대용 물티슈 10팩,생활용품>욕실용품>휴지·티슈,1500,107,A동 1번 통로 (과자 코너)
L-098,샤워메이트 바디워시 1000ml,생활용품>욕실용품>휴지·티슈,1500,102,A동 1번 통로 (과자 코너)
L-099,려 샴푸 500ml,생활용품>욕실용품>휴지·티슈,1900,72,C동 2번 통로 (정육 냉장 진열대)
L-100,엘라스틴 린스 500ml,생활용품>욕실용품>휴지·티슈,1700,113,카운터 옆 악세사리 매대
L-101,퍼실 라벤더 세탁세제 2.7L,생활용품>세제·청소>주방·세탁,25000,44,B동 1번 통로 (라면 코너)
L-102,테크 액체세제 2L,생활용품>세제·청소>주방·세탁,22900,60,A동 1번 통로 (과자 코너)
L-103,자연퐁 주방세제 1.2L,생활용품>세제·청소>주방·세탁,15900,85,A동 1번 통로 (과자 코너)
L-104,자연의벗 퐁퐁 1.5L,생활용품>세제·청소>주방·세탁,1200,127,D동 1번 통로 (욕실용품 코너)
L-105,유한락스 레귤러 1L,생활용품>세제·청소>주방·세탁,4100,140,A동 3번 통로 (대용량 음료 코너)
L-106,홈스타 맥스파이더 500ml,생활용품>세제·청소>주방·세탁,1200,135,A동 2번 통로 (냉장 쇼케이스)
L-107,섬유유연제 다우니 아로마 1L,생활용품>세제·청소>주방·세탁,4100,52,A동 2번 통로 (냉장 쇼케이스)
L-108,울샴푸 명품세제 1L,생활용품>세제·청소>주방·세탁,15900,65,C동 1번 통로 (신선식품 채소 코너)
L-109,베이킹소다 다목적 세정제,생활용품>세제·청소>주방·세탁,1200,150,B동 1번 통로 (라면 코너)
L-110,구연산 청소포 30매,생활용품>세제·청소>주방·세탁,2500,15,D동 2번 통로 (세제 및 청소용품 코너)
L-111,C타입 고속 충전케이블 1m,디지털·잡화>모바일·기타>충전기·문구,5900,112,E동 1번 통로 (디지털 및 문구 매대)
L-112,아이폰 라이트닝 케이블 1m,디지털·잡화>모바일·기타>충전기·문구,9900,71,B동 1번 통로 (라면 코너)
L-113,5핀 보조충전 케이블,디지털·잡화>모바일·기타>충전기·문구,9900,66,B동 2번 통로 (간편식 코너)
L-114,USB 멀티 3포트 충전기,디지털·잡화>모바일·기타>충전기·문구,12900,38,E동 1번 통로 (디지털 및 문구 매대)
L-115,알카라인 건전지 AA 4팩,디지털·잡화>모바일·기타>충전기·문구,3200,81,C동 2번 통로 (정육 냉장 진열대)
L-116,알카라인 건전지 AAA 4팩,디지털·잡화>모바일·기타>충전기·문구,1700,23,A동 1번 통로 (과자 코너)
L-117,모나미 153 볼펜 3개입,디지털·잡화>모바일·기타>충전기·문구,1900,149,A동 2번 통로 (냉장 쇼케이스)
L-118,동아 유성매직 검정,디지털·잡화>모바일·기타>충전기·문구,1200,142,B동 1번 통로 (라면 코너)
L-119,포스트잇 점착메모지,디지털·잡화>모바일·기타>충전기·문구,2500,72,A동 3번 통로 (대용량 음료 코너)
L-120,카카오프렌즈 마우스패드,디지털·잡화>모바일·기타>충전기·문구,1700,22,B동 1번 통로 (라면 코너)
